time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),relative_humidity_2m_mean (%),wind_speed_10m_mean (km/h),ville
2020-06-26,15.4,19.7,12.6,82,13.4,Antananarivo
2020-06-26,16.7,22.1,11.3,73,6.2,Nairobi
2020-06-26,24.1,30.2,18.4,61,8.8,New York
2020-06-26,24.6,31.7,20.1,61,14.0,Paris
2020-06-26,11.5,16.6,8.6,81,9.4,Sydney
2020-06-26,24.8,28.8,21.8,86,11.4,Tokyo
2020-06-27,15.6,21.6,11.8,77,7.9,Antananarivo
2020-06-27,17.4,22.6,13.2,75,5.8,Nairobi
2020-06-27,23.0,26.4,18.3,71,11.4,New York
2020-06-27,20.3,22.8,17.5,72,22.3,Paris
2020-06-27,11.3,14.7,7.5,76,10.8,Sydney
2020-06-27,24.8,28.3,21.7,87,9.3,Tokyo
2020-06-28,14.6,23.5,9.2,74,8.5,Antananarivo
2020-06-28,17.5,22.9,13.1,70,6.0,Nairobi
2020-06-28,24.1,28.7,19.9,80,6.3,New York
2020-06-28,18.6,22.0,15.8,61,17.5,Paris
2020-06-28,11.1,14.4,7.4,86,11.0,Sydney
2020-06-28,21.8,24.2,18.9,84,12.3,Tokyo
2020-06-29,15.8,24.3,7.5,68,4.9,Antananarivo
2020-06-29,16.3,23.0,10.8,70,7.5,Nairobi
2020-06-29,24.2,29.0,20.0,75,11.3,New York
2020-06-29,17.8,21.0,14.6,58,15.4,Paris
2020-06-29,10.8,15.2,7.2,90,8.6,Sydney
2020-06-29,23.9,27.5,20.7,80,13.7,Tokyo
2020-06-30,15.7,23.0,9.7,68,6.2,Antananarivo
2020-06-30,16.6,23.1,9.3,62,6.8,Nairobi
2020-06-30,22.1,25.4,19.0,77,8.0,New York
2020-06-30,19.2,22.6,15.7,65,18.8,Paris
2020-06-30,10.8,16.6,6.3,85,8.1,Sydney
2020-06-30,24.7,26.7,23.3,87,42.3,Tokyo
2020-07-01,14.3,20.9,10.1,78,12.5,Antananarivo
2020-07-01,17.0,21.6,13.2,74,7.0,Nairobi
2020-07-01,22.5,26.5,19.6,81,5.1,New York
2020-07-01,19.8,23.7,17.0,78,15.1,Paris
2020-07-01,14.4,19.5,11.8,63,13.9,Sydney
2020-07-01,24.2,26.1,22.3,86,35.4,Tokyo
2020-07-02,13.4,18.0,8.6,75,14.3,Antananarivo
2020-07-02,16.9,21.3,13.5,74,6.7,Nairobi
2020-07-02,24.7,31.7,19.8,74,7.9,New York
2020-07-02,17.7,21.4,13.9,68,14.3,Paris
2020-07-02,14.7,22.0,8.2,68,11.6,Sydney
2020-07-02,24.9,29.3,21.9,72,24.5,Tokyo
2020-07-03,13.2,19.5,8.2,78,10.7,Antananarivo
2020-07-03,16.7,20.9,12.9,75,5.7,Nairobi
2020-07-03,26.5,31.5,22.5,67,8.6,New York
2020-07-03,17.8,21.8,12.1,61,11.9,Paris
2020-07-03,10.6,16.5,6.1,68,11.9,Sydney
2020-07-03,22.5,26.6,19.6,86,13.2,Tokyo
2020-07-04,13.9,18.3,9.7,80,11.5,Antananarivo
2020-07-04,16.8,22.4,11.3,71,6.7,Nairobi
2020-07-04,23.7,28.8,20.6,81,10.4,New York
2020-07-04,19.5,23.9,14.5,68,21.2,Paris
2020-07-04,11.0,14.8,8.4,62,19.3,Sydney
2020-07-04,24.6,28.2,20.9,85,26.9,Tokyo
2020-07-05,13.6,19.3,9.9,75,12.2,Antananarivo
2020-07-05,16.9,21.1,12.7,72,6.5,Nairobi
2020-07-05,25.3,32.4,21.5,73,10.6,New York
2020-07-05,20.5,24.0,15.1,71,21.1,Paris
2020-07-05,10.9,16.5,6.6,73,13.3,Sydney
2020-07-05,24.5,26.9,23.0,86,24.4,Tokyo
2020-07-06,15.0,21.4,9.0,77,12.6,Antananarivo
2020-07-06,17.5,21.5,13.8,73,6.9,Nairobi
2020-07-06,26.5,32.6,20.8,65,8.1,New York
2020-07-06,16.3,20.9,12.0,58,16.8,Paris
2020-07-06,10.8,16.5,5.7,80,9.5,Sydney
2020-07-06,25.1,26.1,23.6,88,38.1,Tokyo
2020-07-07,15.2,21.7,11.0,76,11.1,Antananarivo
2020-07-07,17.7,22.9,14.0,68,6.7,Nairobi
2020-07-07,23.8,26.6,22.1,83,17.4,New York
2020-07-07,17.6,23.4,9.6,59,6.9,Paris
2020-07-07,12.7,16.0,10.5,82,10.8,Sydney
2020-07-07,26.1,27.5,24.6,86,40.7,Tokyo
2020-07-08,16.0,22.4,11.2,78,13.7,Antananarivo
2020-07-08,17.4,22.3,12.3,71,6.6,Nairobi
2020-07-08,24.9,28.1,22.7,87,12.3,New York
